timestamp,value
2021-01-18T11:08:52Z,94.4
2021-01-18T11:09:52Z,94.3
2021-01-18T11:10:53Z,94.2
2021-01-18T11:11:53Z,94.2
2021-01-18T11:12:53Z,94.3
2021-01-18T11:13:53Z,94.3
2021-01-18T11:14:53Z,94.3
2021-01-18T11:15:53Z,94.3
2021-01-18T11:16:53Z,94.3
2021-01-18T11:17:54Z,94.3
2021-01-18T11:18:54Z,94.2
2021-01-18T11:19:54Z,50.0
2021-01-18T11:20:54Z,50.0
2021-01-18T11:21:54Z,50.0
2021-01-18T11:22:54Z,91.3
2021-01-18T11:23:55Z,50.0
2021-01-18T11:24:55Z,90.1
2021-01-18T11:25:55Z,89.9
2021-01-18T11:26:55Z,89.7
2021-01-18T11:27:55Z,89.1
2021-01-18T11:28:55Z,89.0
2021-01-18T11:29:55Z,50.0
2021-01-18T11:30:56Z,50.0
2021-01-18T11:31:56Z,84.7
2021-01-18T11:32:56Z,82.6
2021-01-18T11:33:56Z,83.4
2021-01-18T11:34:56Z,84.5
2021-01-18T11:35:56Z,84.9
2021-01-18T11:36:56Z,85.4
2021-01-18T11:37:57Z,85.0
2021-01-18T11:38:57Z,85.6
2021-01-18T11:39:57Z,86.4
2021-01-18T11:40:57Z,87.1
2021-01-18T11:41:57Z,87.6
2021-01-18T11:42:57Z,88.2
2021-01-18T11:43:58Z,88.4
2021-01-18T11:44:58Z,84.5
2021-01-18T11:45:58Z,82.0
2021-01-18T11:46:58Z,81.7
2021-01-18T11:47:58Z,82.5
2021-01-18T11:48:58Z,83.2
2021-01-18T11:49:58Z,83.4
2021-01-18T11:50:59Z,83.4
2021-01-18T11:51:59Z,84.2
2021-01-18T11:52:59Z,84.0
2021-01-18T11:53:59Z,84.5
2021-01-18T11:54:59Z,86.5
2021-01-18T11:55:59Z,87.9
2021-01-18T11:57:00Z,88.3
2021-01-18T11:58:00Z,88.7
2021-01-18T11:59:00Z,88.9
2021-01-18T12:00:00Z,88.7
2021-01-18T12:01:00Z,88.5
2021-01-18T12:02:00Z,89.2
2021-01-18T12:03:00Z,88.6
2021-01-18T12:04:00Z,50.0
2021-01-18T12:05:01Z,86.9
2021-01-18T12:06:01Z,88.8
2021-01-18T12:07:01Z,90.0
2021-01-18T12:08:01Z,90.9
2021-01-18T12:09:01Z,91.1
2021-01-18T12:10:01Z,91.5
2021-01-18T12:11:01Z,91.8
2021-01-18T12:12:02Z,92.6
2021-01-18T12:13:02Z,92.6
2021-01-18T12:14:02Z,92.6
2021-01-18T12:15:02Z,92.7
2021-01-18T12:16:02Z,93.1
2021-01-18T12:17:02Z,93.2
2021-01-18T12:18:02Z,93.3
2021-01-18T12:19:02Z,93.5
2021-01-18T12:20:02Z,93.8
2021-01-18T12:21:03Z,93.9
2021-01-18T12:22:03Z,50.0
2021-01-18T12:23:03Z,94.1
2021-01-18T12:24:03Z,94.6
2021-01-18T12:25:03Z,50.0
2021-01-18T12:26:03Z,94.8
2021-01-18T12:27:03Z,94.5
2021-01-18T12:28:03Z,50.0
2021-01-18T12:29:03Z,50.0
2021-01-18T12:30:04Z,94.1
2021-01-18T12:31:04Z,93.3
2021-01-18T12:32:04Z,92.5
2021-01-18T12:33:04Z,92.0
2021-01-18T12:34:04Z,50.0
2021-01-18T12:35:05Z,92.2
2021-01-18T12:36:05Z,92.6
2021-01-18T12:37:05Z,93.1
2021-01-18T12:38:05Z,93.2
2021-01-18T12:39:05Z,93.3
2021-01-18T12:40:05Z,50.0
2021-01-18T12:41:05Z,93.2
2021-01-18T12:42:05Z,93.7
2021-01-18T12:43:05Z,93.7
2021-01-18T12:44:06Z,50.0
2021-01-18T12:45:06Z,93.7
2021-01-18T12:46:06Z,93.6
2021-01-18T12:47:06Z,93.7
2021-01-18T12:48:06Z,93.8
2021-01-18T12:49:06Z,93.9
2021-01-18T12:50:06Z,94.0
2021-01-18T12:51:07Z,93.9
2021-01-18T12:52:07Z,94.1
2021-01-18T12:53:07Z,94.1
2021-01-18T12:54:07Z,94.5
2021-01-18T12:55:07Z,94.5
2021-01-18T12:56:07Z,94.5
2021-01-18T12:57:08Z,94.5
2021-01-18T12:58:08Z,50.0
2021-01-18T12:59:08Z,93.8
2021-01-18T13:00:08Z,93.7
2021-01-18T13:01:08Z,93.8
2021-01-18T13:02:08Z,94.2
2021-01-18T13:03:08Z,94.3
2021-01-18T13:04:08Z,94.6
2021-01-18T13:05:09Z,94.9
2021-01-18T13:06:09Z,95.0
2021-01-18T13:07:09Z,95.1
2021-01-18T13:08:09Z,95.3
2021-01-18T13:09:09Z,95.3
2021-01-18T13:10:09Z,95.2
2021-01-18T13:11:10Z,95.2
2021-01-18T13:12:10Z,50.0
